"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82"
0,7,0,0,1,15,5,1,0,0,0,1,0,0,0,0,1,0,3,3,5,0,10,8,0,18,22,3,5,10,37,37,6,3,6,1,14,13,7,0,21,14,0,3,16,3,12,34,30,5,10,0,3,5,33,1,3,0,8,9,1,40,3,0,7,5,5,3,4,19,12,0,7,0,6,28,4,7,0,51,155,2
0,12,0,0,4,14,8,0,0,0,0,0,0,0,0,2,1,3,1,4,5,0,8,8,0,15,13,5,5,13,34,43,10,5,7,1,19,7,11,0,12,19,0,0,14,0,13,32,36,2,11,2,7,2,19,0,3,0,18,3,0,32,5,2,11,9,8,2,0,11,7,2,7,1,2,25,2,6,0,50,122,0
1,7,0,0,2,10,2,1,0,0,1,0,0,0,0,1,1,0,1,3,3,0,5,6,0,21,15,5,1,10,41,39,6,6,6,1,10,6,9,0,14,12,0,3,12,4,10,24,35,1,6,1,9,5,18,0,1,1,16,5,0,40,5,3,12,8,15,5,3,14,7,1,9,0,4,24,4,8,0,44,127,1
1,9,0,0,2,8,2,0,0,1,0,0,0,0,0,2,1,0,1,4,7,0,4,4,0,16,11,2,1,5,25,36,4,5,9,1,12,4,11,0,8,9,0,1,8,3,15,25,25,0,4,1,6,4,22,0,1,1,14,2,0,37,3,2,4,5,11,2,1,5,8,0,8,2,4,22,5,3,0,32,127,3
0,12,0,0,1,8,7,0,0,0,0,0,0,0,0,1,1,1,1,2,5,0,4,5,0,27,6,2,2,14,32,31,10,6,4,0,7,4,4,1,12,13,0,2,12,2,13,26,25,0,12,0,9,3,26,0,3,0,12,5,1,32,2,5,4,9,8,2,5,8,8,0,3,0,5,22,3,5,1,32,104,1
6,2,1,0,5,0,0,0,0,1,0,12,8,6,15,4,2,1,0,18,0,29,0,24,13,35,38,3,3,2,1,4,4,0,4,8,2,26,20,1,12,25,18,11,3,127,5,0,7,4,39,0,1,0,11,0,4,3,3,0,1,0,5,14,0,0,0,13,8,3,1,11,4,12,0,1,1,9,2,10,11,3
5,1,4,0,7,2,1,0,1,2,0,13,4,12,12,11,6,1,0,17,0,24,0,21,12,31,34,2,1,4,0,10,3,0,2,6,2,26,17,0,9,29,20,13,2,116,7,1,7,8,39,1,3,1,11,0,5,1,3,0,0,1,10,31,0,1,0,10,8,5,3,8,2,18,0,1,0,11,3,9,14,2
1,0,1,0,6,3,0,2,3,5,0,9,10,9,8,7,1,1,0,14,1,16,0,19,7,23,30,0,1,1,0,6,1,0,2,2,0,20,18,0,7,24,17,13,2,102,5,0,6,6,29,0,2,0,6,0,2,3,7,0,0,2,4,23,0,4,0,8,4,2,0,10,1,10,0,1,1,3,2,4,9,0
5,0,0,0,3,3,0,1,0,2,0,6,5,4,4,2,4,0,0,7,0,13,0,17,7,17,25,4,0,0,0,9,2,0,2,6,1,16,17,0,6,20,14,9,1,70,5,0,9,8,19,1,0,0,3,0,0,2,2,0,1,2,4,12,0,1,0,6,3,2,0,14,1,6,0,1,0,8,0,7,14,3
3,0,2,2,1,1,0,0,0,5,0,4,3,10,10,7,2,1,0,13,1,17,0,19,5,22,34,3,1,3,0,10,3,0,3,4,3,20,17,0,6,19,13,9,1,90,3,0,5,6,31,0,2,0,8,0,1,0,0,0,0,1,4,26,0,1,0,8,8,7,0,8,2,6,0,0,0,5,5,3,15,4
3,2,0,1,3,0,0,0,1,4,1,9,2,6,8,2,3,0,0,6,1,19,0,17,12,16,29,3,0,1,0,12,0,0,2,4,0,22,16,0,9,28,10,8,3,84,8,0,4,7,26,0,0,0,4,0,2,1,2,0,2,0,5,26,0,0,0,7,8,3,0,8,3,6,0,2,0,3,1,5,12,1
4,0,1,1,1,1,0,0,1,5,0,3,2,7,8,5,4,0,0,5,0,12,0,21,7,24,27,6,0,5,0,5,2,0,2,7,2,18,10,0,9,13,6,6,3,79,3,0,3,5,22,0,2,0,7,0,1,1,3,0,4,0,5,12,0,0,0,11,4,2,1,8,2,10,0,0,0,3,0,8,11,0
2,1,1,0,3,0,0,2,0,3,0,4,2,5,11,4,2,0,0,7,1,11,0,14,6,22,22,2,1,5,0,4,0,0,0,3,2,27,8,0,2,25,11,10,0,86,5,0,5,6,24,0,0,0,10,0,0,1,5,0,1,0,4,21,0,1,0,8,6,6,2,12,3,3,0,1,0,2,1,5,21,3
